institution_name,major_field,degree_level,median_earnings,employment_rate,debt_median
UC Berkeley,Mathematics,Bachelor's,83824.0,0.98,24874.0
KTH Royal Institute,Fine Arts,Bachelor's,49339.0,0.92,13433.0
University of Delhi,Finance,Bachelor's,78901.0,0.82,33141.0
MIT,Economics,Bachelor's,74524.0,1.0,23618.0
Harvard,Biology,Master's,71831.0,0.73,33452.0
KTH Royal Institute,Biology,Bachelor's,53221.0,0.98,14797.0
University of Melbourne,Engineering,Master's,101391.0,0.9,13730.0
ETH Zurich,Mechanical Engg,Bachelor's,77827.0,0.73,21328.0
NYU,Biology,Bachelor's,57826.0,0.7,18149.0
University of Delhi,Biology,Master's,66550.0,0.82,24627.0
MIT,Architecture,Master's,73002.0,0.7,15055.0
UCLA,Computer Science,Bachelor's,88528.0,0.95,29864.0
KTH Royal Institute,Architecture,Bachelor's,60905.0,0.86,21569.0
Stanford University,Biology,Master's,70521.0,0.8049999999999999,10126.0
MIT,Computer Science,Master's,106097.0,0.97,12077.0
Stanford University,Biology,Master's,71312.0,0.69,31448.0
Seoul National University,Computer Science,Master's,102329.0,1.0,18708.0
Harvard,Commerce,Master's,74376.0,0.9,25511.0
Yale,Biology,Bachelor's,52798.0,0.8,26204.0
Harvard,Political Science,Bachelor's,56639.0,0.94,28829.0
IIT Bombay,Data Science,Master's,102202.0,0.8,21754.0
McGill University,Mathematics,Master's,101568.0,0.79,12182.0
University of Toronto,Architecture,Bachelor's,59221.0,0.93,25681.0
Oxford,Commerce,Bachelor's,54257.0,0.73,22990.0
Yale,Commerce,Master's,73990.0,0.86,32457.0
Oxford,Economics,Master's,101528.0,0.71,14019.0
McGill University,Psychology,Bachelor's,53730.0,0.71,13161.0
LSE,Data Science,Bachelor's,100795.0,0.71,13037.0
Stanford University,Commerce,Master's,67872.0,0.86,17388.0
Oxford,Finance,Bachelor's,82257.0,0.69,12921.0
Stanford University,Commerce,Bachelor's,61695.0,0.88,10563.0
McGill University,Marketing,Master's,64838.0,0.85,26669.0
University of Toronto,Economics,Master's,93621.0,0.875,21105.0
NUS,Finance,Master's,100705.0,0.855,15194.0
ETH Zurich,Marketing,Master's,61472.0,0.81,27756.0
UCLA,Fine Arts,Bachelor's,47905.0,0.77,15613.0
Stanford University,Economics,Master's,89986.0,0.92,26119.0
Stanford University,Engineering,Master's,99649.0,0.84,34356.0
NYU,Data Science,Bachelor's,88682.0,1.0,20487.0
Columbia,Computer Science,Master's,102488.0,0.9,18065.0
Yale,Marketing,Master's,66378.0,0.79,29470.0
NUS,Data Science,Bachelor's,86266.0,0.88,23302.0
McGill University,Biology,Bachelor's,53722.0,0.66,21048.0
KTH Royal Institute,Political Science,Master's,61804.0,0.7,15246.0
Harvard,Commerce,Bachelor's,54510.0,0.69,12973.0
LSE,Computer Science,PhD,78684.0,0.89,10731.0
UCLA,Marketing,Master's,66006.0,0.94,24453.0
Stanford University,Political Science,Bachelor's,57794.0,0.65,31282.0
ETH Zurich,Data Science,Bachelor's,89328.0,0.8,34615.0
NYU,Mechanical Engg,Bachelor's,76612.0,0.94,21423.0
Oxford,Mathematics,Master's,97218.0,0.99,19186.0
Stanford University,Mathematics,Master's,101294.0,0.7,28535.0
UC Berkeley,Engineering,Master's,110341.0,0.7,27837.0
Seoul National University,Philosophy,Master's,58560.0,0.92,13684.0
Tsinghua University,Engineering,Bachelor's,78788.0,0.69,34301.0
University of Toronto,Philosophy,Master's,55765.0,0.95,26552.0
ETH Zurich,Political Science,Master's,60694.0,0.96,21252.0
University of Toronto,Philosophy,Master's,75352.0,1.0,19727.0
NYU,Philosophy,Master's,59759.0,0.99,34271.0
KTH Royal Institute,Mathematics,Master's,99883.0,0.7,29129.0
Yale,Commerce,Bachelor's,54677.0,0.75,27199.0
Oxford,Engineering,Master's,104682.0,0.82,22955.5
ETH Zurich,Philosophy,Bachelor's,50725.0,0.97,22569.0
Yale,Economics,Master's,101557.0,0.96,11188.0
Seoul National University,Commerce,Bachelor's,60938.0,0.89,20677.0
Columbia,Finance,Bachelor's,83859.0,0.87,21330.0
McGill University,Economics,Bachelor's,79987.0,0.91,25948.0
KTH Royal Institute,Marketing,Master's,62707.0,0.83,31103.0
NUS,Data Science,Bachelor's,88081.0,0.71,13749.0
Stanford University,Fine Arts,Master's,55322.0,0.66,30088.0
McGill University,Economics,Bachelor's,78746.0,0.99,32514.0
NUS,Architecture,Master's,78613.0,0.99,13016.0
Seoul National University,Finance,Master's,106644.0,0.78,28598.0
NUS,Fine Arts,Bachelor's,44175.0,1.0,12824.0
McGill University,Commerce,Master's,77243.0,0.8,21791.0
KTH Royal Institute,Computer Science,Bachelor's,90949.0,0.77,13051.0
IIT Bombay,Marketing,Master's,71257.0,0.75,15259.0
UC Berkeley,Architecture,Master's,73237.0,0.66,21777.0
NUS,Architecture,Master's,78422.0,0.93,30335.0
Yale,Mechanical Engg,Bachelor's,79094.0,0.79,24395.0
NYU,Economics,Bachelor's,84210.0,0.99,21959.0
UCLA,Psychology,Bachelor's,48866.0,0.82,32108.0
IIT Bombay,Computer Science,Bachelor's,97323.0,0.835,20025.0
NUS,Philosophy,Master's,60672.0,0.66,30681.0
ETH Zurich,Engineering,Bachelor's,89796.0,0.77,25002.0
Oxford,Biology,Bachelor's,55566.0,0.75,27106.0
Tsinghua University,Engineering,Bachelor's,83258.0,0.73,11826.0
McGill University,Computer Science,Bachelor's,98941.0,0.835,11137.0
LSE,Political Science,Master's,71148.0,0.87,33258.0
Tsinghua University,Economics,Bachelor's,73869.0,0.67,28695.0
NUS,Psychology,Master's,60455.0,0.825,13781.0
Tsinghua University,Computer Science,Bachelor's,85684.0,0.93,11019.0
Columbia,Biology,Master's,65517.0,0.79,28748.0
LSE,Philosophy,Bachelor's,50707.0,0.82,32184.0
Stanford University,Psychology,Bachelor's,55504.0,0.71,21351.0
LSE,Philosophy,Bachelor's,49531.0,0.84,13233.0
MIT,Finance,Master's,109682.0,0.8,31637.0
Harvard,Computer Science,Bachelor's,94546.0,0.91,30158.0
Oxford,Architecture,Bachelor's,58278.0,0.83,12255.0
NUS,Finance,Master's,94187.0,0.79,13876.0
ETH Zurich,Political Science,Bachelor's,54753.0,0.71,23077.0
Oxford,Philosophy,Bachelor's,50106.0,0.82,18886.0
Seoul National University,Engineering,Bachelor's,79597.0,0.81,24680.0
Tsinghua University,Finance,Master's,108312.0,0.72,31790.0
NYU,Philosophy,Bachelor's,59725.0,0.93,22168.0
KTH Royal Institute,Marketing,Master's,69351.0,0.69,27400.0
University of Delhi,Marketing,Bachelor's,54293.0,0.9,21585.0
ETH Zurich,Commerce,Bachelor's,59343.0,0.84,17370.0
University of Toronto,Philosophy,Master's,77753.0,0.99,17269.0
ETH Zurich,Commerce,Master's,76860.0,1.0,21791.0
Seoul National University,Data Science,Bachelor's,84951.0,0.9,14033.0
University of Delhi,Mechanical Engg,Master's,98959.0,0.84,32079.0
University of Toronto,Commerce,Master's,73462.0,0.76,14987.0
KTH Royal Institute,Mechanical Engg,Bachelor's,75755.0,0.87,26923.0
UC Berkeley,Marketing,Bachelor's,51993.0,0.87,29234.0
McGill University,Psychology,Bachelor's,47883.0,0.67,28894.0
NYU,Finance,Bachelor's,87208.0,1.0,21037.0
University of Melbourne,Mechanical Engg,Bachelor's,73967.0,0.73,20113.0
ETH Zurich,Data Science,Master's,115089.0,0.79,20543.0
IIT Bombay,Economics,Master's,101638.0,0.97,21494.0
UCLA,Finance,Bachelor's,82251.0,0.81,10927.0
UCLA,Architecture,Bachelor's,66660.0,0.83,31838.0
Yale,Philosophy,Master's,77045.0,0.93,29708.0
Tsinghua University,Biology,Master's,66088.0,0.77,28501.0
UCLA,Political Science,Master's,64247.0,0.9,16467.0
Oxford,Biology,Master's,68126.0,0.9,13118.0
Oxford,Philosophy,Bachelor's,54890.0,0.88,24888.0
Columbia,Psychology,Master's,58655.0,0.8,14813.0
Columbia,Mechanical Engg,Bachelor's,73475.0,0.82,26920.0
University of Toronto,Philosophy,Master's,64965.0,0.93,14071.0
University of Melbourne,Economics,Master's,101812.0,0.7,33601.0
Columbia,Architecture,Bachelor's,62889.0,0.67,17581.0
ETH Zurich,Computer Science,Bachelor's,97096.0,0.835,13058.0
Columbia,Engineering,Bachelor's,91804.0,0.96,29048.0
University of Melbourne,Mathematics,Master's,102136.0,0.69,32506.0
Yale,Political Science,Bachelor's,56605.0,1.0,27684.0
McGill University,Mathematics,Bachelor's,82686.0,0.95,22565.0
Stanford University,Engineering,Bachelor's,90604.0,0.99,18010.0
Seoul National University,Computer Science,PhD,94406.0,0.99,12483.0
UC Berkeley,Psychology,Bachelor's,56702.0,0.92,27832.0
Oxford,Commerce,Bachelor's,58506.0,0.98,24650.0
ETH Zurich,Political Science,Master's,66584.0,0.68,10465.0
McGill University,Philosophy,Bachelor's,48046.0,0.81,34197.0
Columbia,Political Science,Bachelor's,59526.0,0.9,17231.0
UC Berkeley,Computer Science,Bachelor's,96110.0,0.8,22758.0
MIT,Economics,Bachelor's,74234.0,0.87,33935.0
Yale,Architecture,Master's,71585.0,0.91,18211.0
UCLA,Mathematics,PhD,93019.5,0.72,19819.0
Harvard,Finance,Bachelor's,84068.0,0.7,19668.0
Stanford University,Engineering,Master's,104612.0,0.95,14787.0
KTH Royal Institute,Mathematics,Master's,106063.0,0.66,10178.0
University of Toronto,Engineering,Master's,104717.0,0.88,13206.0
Harvard,Economics,Master's,99662.0,0.76,21494.0
McGill University,Philosophy,Master's,63308.0,0.82,18074.0
NUS,Psychology,Bachelor's,54693.0,1.0,21221.0
Stanford University,Commerce,Bachelor's,65883.0,0.74,14921.0
Yale,Psychology,Bachelor's,55203.0,0.89,12696.0
IIT Bombay,Data Science,Bachelor's,84141.0,0.89,13120.0
MIT,Architecture,Bachelor's,65504.0,0.67,20795.0
NYU,Mathematics,Bachelor's,75371.0,0.95,10265.0
University of Toronto,Mechanical Engg,Master's,103001.0,0.96,12567.0
KTH Royal Institute,Biology,Bachelor's,53661.0,0.85,14648.0
UCLA,Finance,Bachelor's,92815.0,0.95,13685.0
Oxford,Philosophy,Master's,61576.0,0.71,11365.0
Columbia,Fine Arts,Bachelor's,42204.0,0.84,31300.0
Seoul National University,Data Science,Master's,115721.0,0.67,18483.0
IIT Bombay,Biology,Bachelor's,61112.0,0.98,30652.0
Stanford University,Data Science,Bachelor's,88146.0,0.73,10742.0
University of Delhi,Psychology,Bachelor's,55614.0,0.75,12529.0
UCLA,Commerce,Bachelor's,58435.0,0.8,25580.0
NUS,Architecture,Bachelor's,58151.0,0.86,25903.0
MIT,Finance,Bachelor's,80701.0,0.9,24602.0
ETH Zurich,Fine Arts,Bachelor's,42006.0,0.81,22972.0
UC Berkeley,Data Science,Master's,109917.0,0.88,15179.0
University of Delhi,Mechanical Engg,Bachelor's,81141.0,0.79,12100.0
Tsinghua University,Political Science,Master's,64200.0,0.83,16825.0
Stanford University,Economics,Master's,89318.0,0.99,33165.0
NYU,Engineering,Bachelor's,87976.0,0.75,14766.0
KTH Royal Institute,Philosophy,Master's,75397.0,0.81,21800.0
University of Melbourne,Finance,Bachelor's,80067.0,0.74,30359.0
Yale,Finance,Bachelor's,88365.0,0.73,24437.0
UCLA,Psychology,Bachelor's,49145.0,0.82,17490.0
Seoul National University,Computer Science,Bachelor's,86944.0,0.9,34504.0
University of Delhi,Commerce,Bachelor's,60834.0,0.83,23822.0
MIT,Philosophy,Master's,70630.0,0.73,19216.0
Stanford University,Economics,Master's,89771.0,0.86,31642.0
UCLA,Marketing,Bachelor's,51246.0,0.88,21473.0
University of Delhi,Computer Science,Bachelor's,85443.0,0.78,10977.0
Harvard,Psychology,Master's,61267.0,0.98,25443.0
NUS,Mechanical Engg,Master's,94296.0,0.84,25702.0
Oxford,Mathematics,Bachelor's,81893.0,0.92,12630.0
Yale,Commerce,Master's,66320.0,0.91,19983.0
University of Delhi,Philosophy,Bachelor's,57925.0,0.95,16057.0
Tsinghua University,Economics,Master's,88289.0,0.69,11939.0
Stanford University,Mathematics,Master's,90764.0,0.92,30287.0
NYU,Commerce,Master's,70528.0,0.73,10400.0
Stanford University,Computer Science,Master's,116257.0,0.69,11100.0
University of Melbourne,Engineering,Master's,109383.0,0.81,18084.0
Stanford University,Philosophy,Master's,73895.0,0.76,20277.0
KTH Royal Institute,Mechanical Engg,Bachelor's,81107.0,0.75,19714.0
UCLA,Data Science,Bachelor's,98468.0,0.84,19559.0
IIT Bombay,Political Science,Bachelor's,52897.0,0.95,19363.0
Oxford,Fine Arts,Bachelor's,47027.0,0.82,17938.0
MIT,Political Science,Master's,69816.0,0.78,26625.0
IIT Bombay,Finance,Bachelor's,84020.0,0.65,25859.0
UCLA,Fine Arts,Bachelor's,48886.0,0.74,28041.0
IIT Bombay,Commerce,Bachelor's,65612.0,0.73,18989.0
University of Toronto,Economics,Master's,100165.0,0.98,21494.0
University of Toronto,Commerce,Bachelor's,55833.0,0.94,19378.0
KTH Royal Institute,Mechanical Engg,Bachelor's,86658.0,0.65,20113.0
NUS,Commerce,Master's,66854.0,1.0,14059.0
NUS,Psychology,Master's,64443.0,0.91,10862.0
Columbia,Mathematics,Bachelor's,81269.0,0.92,31037.0
Stanford University,Engineering,Bachelor's,86464.0,0.78,30743.0
LSE,Biology,Master's,70598.0,0.94,12731.0
Seoul National University,Finance,Master's,106220.0,0.855,12421.0
NUS,Political Science,Master's,64621.0,0.93,21266.0
University of Delhi,Economics,Bachelor's,76149.0,0.85,31709.0
UC Berkeley,Engineering,Master's,94004.0,0.74,22955.5
LSE,Finance,Bachelor's,80088.0,0.97,16645.0
ETH Zurich,Mechanical Engg,Master's,93489.0,0.78,25270.0
Columbia,Marketing,PhD,57259.0,0.98,10221.0
NYU,Marketing,Master's,65471.0,0.92,10078.0
Yale,Computer Science,Master's,111202.0,0.74,18708.0
ETH Zurich,Mathematics,Bachelor's,76147.0,0.86,13196.0
Harvard,Psychology,Master's,64091.0,0.75,12235.0
NUS,Biology,Bachelor's,61089.0,0.74,13077.0
UCLA,Architecture,Master's,79754.0,0.96,27936.0
University of Toronto,Mathematics,Master's,91637.0,0.69,12902.0
Columbia,Economics,Master's,99191.0,0.67,17991.0
Columbia,Finance,Bachelor's,83220.0,0.87,30930.0
ETH Zurich,Mathematics,Master's,104125.0,0.98,27214.0
LSE,Marketing,Master's,71131.0,0.67,31201.0
IIT Bombay,Biology,Bachelor's,60637.0,0.77,10539.0
University of Toronto,Data Science,Master's,108395.0,0.86,31406.0
University of Toronto,Engineering,Bachelor's,77420.0,0.78,21047.0
ETH Zurich,Psychology,Bachelor's,53572.0,0.79,31460.0
University of Toronto,Commerce,Bachelor's,56155.0,0.67,34243.0
University of Toronto,Fine Arts,Bachelor's,45865.0,0.72,26768.0
Harvard,Finance,Master's,104604.0,0.8,26719.0
University of Melbourne,Fine Arts,Bachelor's,46743.0,0.69,27568.0
Oxford,Philosophy,Bachelor's,52952.0,0.72,22168.0
McGill University,Marketing,Master's,69507.0,0.91,12933.0
KTH Royal Institute,Philosophy,Bachelor's,54469.0,0.88,28826.0
Harvard,Engineering,Master's,109568.0,0.65,29570.0
McGill University,Mechanical Engg,Bachelor's,87776.0,0.79,30494.0
IIT Bombay,Computer Science,Bachelor's,83415.0,0.87,20550.0
McGill University,Psychology,Master's,58065.0,0.75,11763.0
LSE,Mathematics,Bachelor's,82187.0,0.72,19473.0
KTH Royal Institute,Fine Arts,Bachelor's,44161.0,0.78,13658.0
IIT Bombay,Psychology,Bachelor's,56698.0,0.96,24720.0
ETH Zurich,Engineering,Master's,103826.0,0.82,18629.0
McGill University,Political Science,Master's,65626.0,0.86,28385.0
MIT,Architecture,Master's,76964.0,0.72,16895.0
NUS,Political Science,Bachelor's,53971.0,0.78,33621.0
UC Berkeley,Philosophy,Bachelor's,53083.0,0.65,13410.0
ETH Zurich,Political Science,Bachelor's,57705.0,0.94,28474.0
University of Melbourne,Mathematics,Bachelor's,88263.0,0.86,22842.0
MIT,Commerce,Master's,76968.0,0.75,17479.0
Oxford,Philosophy,Bachelor's,65076.0,0.84,33385.0
KTH Royal Institute,Marketing,PhD,53845.0,0.69,10221.0
NUS,Mechanical Engg,Bachelor's,73981.0,0.84,19883.0
Oxford,Data Science,Master's,119404.0,0.91,10145.0
University of Delhi,Engineering,Bachelor's,82130.0,0.66,34573.0
NYU,Commerce,Master's,69898.0,0.96,31076.0
University of Toronto,Economics,Bachelor's,77505.0,0.66,20741.0
KTH Royal Institute,Biology,Bachelor's,61026.0,0.75,29168.0
LSE,Biology,Bachelor's,61279.0,0.69,31371.0
UCLA,Fine Arts,Bachelor's,48861.0,0.82,20182.0
Oxford,Biology,Bachelor's,57154.0,0.67,27789.0
IIT Bombay,Data Science,PhD,91354.0,0.76,16306.0
ETH Zurich,Data Science,Master's,115338.5,0.87,19034.0
Seoul National University,Political Science,Master's,61459.0,0.69,34208.0
University of Delhi,Fine Arts,Master's,52586.0,0.94,11095.0
University of Delhi,Commerce,Master's,72724.0,0.79,20903.0
ETH Zurich,Commerce,Bachelor's,57475.0,0.82,30363.0
ETH Zurich,Mathematics,Bachelor's,86581.0,0.81,15445.0
Stanford University,Architecture,Master's,78770.0,0.77,23339.0
Oxford,Computer Science,Bachelor's,96720.0,0.67,12904.0
Columbia,Mathematics,Master's,94530.0,0.7,25648.0
Stanford University,Marketing,Master's,71187.0,0.86,12661.0
University of Toronto,Mathematics,Master's,103596.0,0.74,28822.0
UCLA,Mechanical Engg,Bachelor's,79664.0,0.85,24241.0
UC Berkeley,Philosophy,Master's,70730.0,0.89,32728.0
University of Toronto,Engineering,Bachelor's,82923.0,0.66,11093.0
IIT Bombay,Finance,Bachelor's,89970.0,0.65,31318.0
Harvard,Fine Arts,Bachelor's,41968.0,0.78,25687.0
NYU,Computer Science,Bachelor's,96056.0,0.71,20271.0
NUS,Commerce,Bachelor's,62213.0,0.92,34769.0
IIT Bombay,Engineering,Master's,109196.0,0.82,23262.0
KTH Royal Institute,Economics,Master's,101081.0,0.79,33322.0
Harvard,Finance,Bachelor's,78992.0,0.71,30366.0
NYU,Philosophy,Master's,64947.0,0.72,27335.0
NUS,Philosophy,Master's,58831.0,0.87,15752.0
Harvard,Philosophy,Master's,57193.0,0.68,19059.0
ETH Zurich,Economics,Bachelor's,85868.0,0.98,34295.0
NUS,Fine Arts,Bachelor's,49158.0,0.93,22321.5
NUS,Data Science,Bachelor's,98208.0,1.0,11926.0
Seoul National University,Marketing,Master's,68729.0,0.93,29534.0
Stanford University,Psychology,Bachelor's,54611.0,0.85,31899.0
McGill University,Biology,Master's,68714.0,0.71,13128.0
University of Delhi,Commerce,Bachelor's,60711.0,0.99,26047.0
University of Toronto,Economics,Bachelor's,73734.0,0.68,23618.0
Oxford,Economics,Bachelor's,76945.0,0.87,23618.0
LSE,Engineering,Bachelor's,81847.0,0.78,19953.0
University of Delhi,Data Science,Master's,102991.0,0.81,13754.0
Seoul National University,Finance,Master's,96240.0,0.92,15789.0
University of Delhi,Finance,Bachelor's,85277.0,0.94,29633.0
Yale,Psychology,Master's,64612.0,0.92,33950.0
Seoul National University,Mathematics,PhD,80829.0,1.0,21370.0
UC Berkeley,Architecture,Master's,69306.0,0.72,16400.0
Tsinghua University,Mathematics,Bachelor's,79760.0,0.76,21020.0
University of Melbourne,Marketing,Master's,63391.0,1.0,28526.0
IIT Bombay,Biology,Bachelor's,58813.0,0.99,18723.0
Tsinghua University,Mathematics,Master's,105936.0,0.81,18560.0
KTH Royal Institute,Mechanical Engg,Bachelor's,72612.0,0.71,10783.0
KTH Royal Institute,Finance,Master's,110135.0,0.74,25291.5
NUS,Psychology,Master's,61412.0,0.77,26741.0
LSE,Economics,Bachelor's,84050.0,0.72,27220.0
UC Berkeley,Biology,Master's,63915.0,0.96,25412.0
Yale,Philosophy,Master's,71993.0,0.78,28057.0
Tsinghua University,Marketing,Bachelor's,49901.0,0.95,25023.0
University of Delhi,Data Science,Bachelor's,83064.0,0.98,31693.0
ETH Zurich,Mathematics,Master's,97183.0,0.79,19328.0
McGill University,Philosophy,Bachelor's,51885.0,0.82,31424.0
Harvard,Finance,PhD,73287.0,0.95,22584.0
MIT,Mathematics,Master's,99246.0,0.7,29843.0
Tsinghua University,Philosophy,Master's,69403.0,1.0,20367.0
IIT Bombay,Philosophy,PhD,78267.0,0.86,24304.0
NUS,Fine Arts,Master's,56711.0,0.88,14342.0
Yale,Political Science,Bachelor's,55046.0,0.9,16505.0
McGill University,Economics,Master's,98062.0,0.89,11969.0
University of Toronto,Computer Science,Bachelor's,84357.0,0.91,28157.0
University of Toronto,Finance,Master's,104166.0,0.91,24897.0
NYU,Economics,Master's,101513.0,0.875,20343.0
ETH Zurich,Mathematics,Bachelor's,84190.0,0.83,26491.0
KTH Royal Institute,Marketing,Bachelor's,60444.0,0.855,13039.0
KTH Royal Institute,Computer Science,Bachelor's,87568.0,0.835,27290.0
UCLA,Psychology,Master's,62935.0,0.77,19998.0
University of Delhi,Psychology,Bachelor's,56803.0,0.69,15145.0
ETH Zurich,Commerce,Master's,73474.0,0.89,25817.0
Harvard,Mechanical Engg,Bachelor's,78556.0,0.89,19957.0
NYU,Economics,Master's,91442.0,0.8,21494.0
Stanford University,Biology,Master's,66498.0,0.68,24023.0
KTH Royal Institute,Architecture,Bachelor's,61196.0,0.98,11169.0
LSE,Commerce,Bachelor's,58594.0,0.88,34698.0
Tsinghua University,Psychology,Bachelor's,56347.0,0.67,30062.0
Oxford,Psychology,Master's,60457.0,0.89,31216.0
NYU,Marketing,Master's,69580.0,0.71,15658.0
Harvard,Fine Arts,Master's,53967.0,0.93,11200.0
Oxford,Engineering,Master's,98088.0,0.72,31547.0
Seoul National University,Architecture,Master's,71182.0,0.84,22067.0
